Review,Sentiment
मेरे ट्रैन का बुकिंग फेल हो रहा है बार बार ,angry
मेरे फ्लाइट  का बुकिंग फेल हो रहा है बार बार ,angry
क्या बेकार की बातें कर रहे हो ,angry
क्या बताओ यार मूड ही ख़राब है ,angry
आप ऐसे कैसे मेरा पैसा काट सकते हो ,angry
इनके सीनियर एग्जीक्यूटिव से कम्प्लेन करनी पड़ेगी ,angry
मेरा बैलेंस कैसे ख़तम हो सकता है पागल  ,angry
ये कैसा घटिया प्लान है ,angry
गधे के बच्चे बता ये प्रॉब्लम कैसे सॉल्व करूँ मैं ,angry
मैंने 10 बार कम्प्लेन की है लेकिन कुछ हल नहीं निकल रहा ,angry
आप अपनी सर्विस अपने पास रखो ,angry
अपना पैक अपने पास रख ,angry
कितनी बार बोला की मेरा डिश टीवी रिचार्ज करना है ,angry
कुछ भी बोल रहे हो यार ,angry
एक बार में समझ नहीं आया बोला रिचार्ज करने तो ,angry
अबे रिचार्ज कर चुप चाप से ,angry
दिमाग मत ख़राब कर और जल्दी रिचार्ज कर ,angry
कहाँ से होगा बे तेरा रिचार्ज  ,angry
जल्दी कर यार तू रिचार्ज लौड़े ,angry
जल्दी डलवा मेरे पैसे इडियट ,angry
गवार तू जल्दी रिचार्ज करेगा ,angry
मेरा दिमाग ख़राब मत कर और तुरंत रिचार्ज कर   ,angry
साले मेरा पैसा कब तक आएगा ,angry
चुप चाप मेरे पैसे लौटा ,angry
यार बार बार इंडिका ही क्यों बुक होता है ,angry
नहीं डलवाऊँगा पैसे मैं साले चोर ,angry
जा नहीं करा रहा मैं रिचार्ज ,angry
तू बस अपना पैक्स डिटेल्स दे नालायक ,angry
क्या बकवास पैक्स हैं ,angry
एक ही बात कितने बार बोलोगे ,angry
कब तक एक ही बात बोलोगे ,angry
होते कौन हो आप ऐसा करने वाले ,angry
कुछ भी करके मेरे पैसे रिवर्ट कराओ ,angry
ऐसे कैसे चैनल्स बंद कर दिए आप ,angry
मेरा दिमाग खराब हो गया है इसे रास्ता बताते ,angry
कैसी घटिया सर्विस है तुम्हारी ,angry
तू गधा है क्या ,angry
मुझे बहुत गुस्सा आ रहा है ,angry
ये कैब वाला कहा मर गया ,angry
और कितना इंतज़ार करवाओगे भाई ,angry
 तुझे एक बार मैं समझ नहीं आता क्या ,angry
यार क्या बकवास कर रहे हो तुम ,angry
बहुत ही घटिया एप्प है तुम्हारा ,angry
क्या बतमीज़ी है यार ,angry
एक भी सही चीज नहीं बताई तुमने,angry
तेरे को एक बार में समझ में नहीं आती क्या ,angry
एप्प बार बार फस क्यों रहा है ,angry
बहुत कन्फुसिंग इंटरफ़ेस है तुम्हारा ,angry
मुझे कुछ समझ में नहीं आ रहा है ,angry
ये कैब कहा रह गया यार ,angry
मुझे तुम से बहुत शिकायत है ,angry
अबे चूतियों वाली बातें मत करो ,angry
कैब वाले ने फिर से कैंसिल कर दिया,angry
मेरी कैब क्यों नहीं आ रही है ,angry
मै तुमसे बहुत क्रोधित हु ,angry
टट्टी एप है ये ,angry
बार बार एक ही चीज़ बोले जा रहे हो ,angry
दिमाग खराब कर दिया ,angry
कोई काम के नहीं हो तुम ,angry
कितनी बार एक ही चीज़ बोलनी पड़ेगी ,angry
कुछ काम का नहीं है ये एप ,angry
कभी तो समझ जा एक बार मे ,angry
अबे गांडू हो क्या ?,angry
यूज़लेस एप ,angry
बहुत ही बकवास वेबसाइट है तुम्हारा भाई ,angry
तुमसे नहीं हो पायेगा ,angry
मेरा टाइम बर्बाद कर दिया ,angry
तुमसे अच्छा तोह मै खुद ही कर लूं,angry
तबसे एक काम नहीं  कर पा रहे हो तुम ,angry
तुमसे अच्छा गधे से काम करा लूं,angry
चुतियापा बंध करो तुम्हारा ,angry
कभी तो काम के आओ तुम ,angry
यूज़लेस ,angry
वेस्ट ऑफ टाइम,angry
घटिया सर्विस ,angry
क्या फालतू इंटरफ़ेस है तुम्हारे एप्प का ,angry
क्या पागलपंती है ये ,angry
पागल बना रखा है इस एप ने ,angry
क्या बेकार रिस्पांस है इस एप का ,angry
अजीब पागल हो तुम बे ,angry
व्हाट ध फ़क ,angry
तुम्हारे वजह से बेज़त्ति हो गयी मेरी,angry
कम ऑन मैन ,angry
बहुत टाइम लग रहा है बुक हने मे ,angry
फ़क ऑफ़ ,angry
मै तंग आ चुका हू ,angry
दुनिया का सबसे बेकार एप्प है तुम्हारा ,angry
बहुत परेशान करता है ये एप ,angry
चूतिया है क्या ? ,angry
मुझे तुमसे बात नहीं करनी है ,angry
अबे भोसड़ीके ,angry
जो बोला वो क्यों नहीं करते हो ? ,angry
बहनचोद  ,angry
साले मादरचोद हो तुम ,angry
हरामी ,angry
मादरचोद ,angry
क्या लूज़र सा एप है ,angry
क्या बेकार अप्प है ,angry
तुम कभी कुछ समझते ही नहीं हो ,angry
तुम एक दम बेवक़ूफ़ हो ,angry
ऐसा लग रहा है दीवार से बात कर रहा हु ,angry
तुम सबसे वाहियाद हो ,angry
कमीने ,angry
एकदम बेकार ,angry
गवार एप ,angry
हरामज़ादे ,angry
लंड जैसा काम किया तुमने ,angry
कुछ भी नहीं बको बे ,angry
ये क्या बकवास है ,angry
तुमको कुछ समझ में नहीं आता क्या बहनचोद  ,angry
लंड बॉट है ये ,angry
गए गुजरे हो तुम हरामजादे,angry
तुमसे कोई काम न होता भोसड़ीके ,angry
तुम किसी काम के नहीं हो बहनचोद ,angry
यार क्या घटिया सर्विस है ,angry
कहा मर गए ,angry
अरे ये चैनल्स क्यों नहीं आ रहा चूतिये ,angry
अरे ये चैनल कैसे लॉक हो गया गधे ,angry
ये चैनल्स का रेट इतना ज्यादा क्यों कर देते है बार बार ,angry
कैब ड्राइवर के अगेंस्ट एक कंप्लेन करो,angry
इतना मेहेंगा क्यों भोस्डिके ,angry
अभी तक साले ने डिलीवरी नहीं दी ,angry
क्या वाहियात है यार ,angry
अबे क्या मुझे तू उल्लू समझ रहा है ,angry
ओय मुझे गधा समझा है क्या ,angry
हमेशा ऐसे कैसे हो जाता है बेवकूफ एप,angry
इत्ता परेशान मै पहले कभी नहीं हुआ ,angry
अपने आप को समझ क्या रखा है तूने कुत्ते ,angry
अबे ये एप्प कितना फसता है ,angry
यार कुछ पल्ले ही नहीं पर रहा ,angry
बढ़िया डील मिला हमे ,happy
होटल तो लाजवाब है ,happy
यह होटल काफी अच्छा था ,happy
इतना अच्छा सर्विस दिया तो ख़ुशी से मै और पैसे दे दूँ ,happy
यार ये बहुत सही चीज़ है ,happy
यार ये तो मख्खन जैसा काम करता है ,happy
बहुत खूब ,happy
बहुत बढ़िया हुआ कि पैसे समय से पहले आ गए ,happy
मुझे तो ये एप्प बहुत अच्छा लगता है ,happy
"मज़ा आ गया भाई , पैसे ख़तम भी हो गए पर चैनल्स अभी भी चल रहे ",happy
इतने काम पैसे में इतना चैनल्स ,happy
मैं बिलकुल संतुष्ट हूँ इनके सर्विस से ,happy
ऐसे ही सर्विस हमेशा रहे तो क्या बात है ,happy
धन्यवाद भाई ,happy
अरे वाह क्या सर्विस है ,happy
वाह लाजवाब ,happy
शुक्रिया रिचार्ज करने के लिए दोस्त ,happy
पैसे डलवाने के लिए शुक्रिया यारा ,happy
पैसे डलवाने के लिए धन्यवाद मेरे यार ,happy
धन्यवाद मैं खुश हुआ ,happy
बहुत अच्छा भाई ,happy
रिचार्ज करने के लिए धन्यवाद मेरे हीरो ,happy
खुश हुआ मैं ,happy
अरे वाह क्या बात है ,happy
क्या बात है यार बढ़िया होटल मिल गया ,happy
अच्छा हुआ अकाउंट बंद नहीं हुआ ,happy
तुम्हरा कोटि कोटि धन्यवाद मेरा अकाउंट रजिस्टर करने के लिए ,happy
तुम्हरा कोटि कोटि धन्यवाद मेरा मोबाइल नंबर रजिस्टर करने के लिए ,happy
वाओ ! ! ! यार क्या चीज़ बताई है तुमने,happy
यीपी  ! ! ! मुझे सस्ती फ्लाइट मिल ,happy
वाह ! ! ! क्या मौसम है ,happy
हुर्रे ! ! ! क्या डील मिली है !,happy
वाओ ! !  ,happy
वूहू ! !,happy
ओए होए ! ! ! ,happy
नाइस ,happy
आ हा ! ! ! क्या बात है ,happy
वाह ! ! ! सस्ती चीज बता दी यार,happy
यीपी ! ! ! मै जल्दी घर आ गया ,happy
वूहू ! ! मज़ा आ गया ,happy
हुर्रे ! ! ! एक नंबर कूपन मिल गया ,happy
आये होये ! ! ! आज तो तूने दिल जीत लिया भाई ,happy
मेरा ट्रैन टिकट बुक हो गया वाओ ! !  ,happy
वाओ बैंगलोर की ट्रेन मिल गई,happy
वाओ ! ! मेरी ट्रेन जल्दी आ,happy
यीपी ! ! ! मेरा फ्लाइट आखिरकार बुक हो गया ,happy
बढ़िया काम किया भाई ,happy
बैंगलोर की ट्रेन मिल गई यीपी ,happy
ऑटो मिल गया  यीपी ,happy
अच्छी कैब मिल गयी  वाह ! !,happy
मस्त बारिश हुई आज वाह ,happy
मुझे फ्लाइट का टिकट मिल गया वाह ,happy
ओए होए ! ! मेरा ट्रैन टिकट बुक हो गया ,happy
ओए होए सारथी तुमने बहुत अच्छा काम किया,happy
मेरा फ्लाइट आखिरकार बुक हो गया हुर्रे ! ! ,happy
हुर्रे मस्त कैब मिल गयी ,happy
आ हा ! सारथी तुम बेस्ट हो ,happy
मदद करने के लिए शुक्रिया ,happy
आ हा सारथी तुम लाजवाब हो ,happy
तुम बहुत अच्छे हो ,happy
क्या कमल कर दिया तूने ,happy
अरे वाह इतनी जल्दी हो भी गया ,happy
अच्छा काम किया भाई ,happy
एक नंबर ऑफर मिला है,happy
गुड जॉब ,happy
थैंक्स सारथि,happy
यह तो बहुत अच्छा ऐप है,happy
आज का मौसम बहुत बढ़िया है यार ,happy
कितना खूबसूरत होटल था ,happy
मस्त होटल था यार ,happy
लाजवाब जगह था वह ,happy
ये काम बहुत अच्छा किया तूने ,happy
गज़ब का होटल था ,happy
फ्लाइट में बहुत मज़ा आया,happy
बेहतरीन ऐप है भाई,happy
ट्रैन की यात्रा  काफी अच्छी थी ,happy
भाई तूने मेरी बहुत हेल्प की है ,happy
एक नंबर काम किया है भाई तूने,happy
कैब ड्राइवर बहुत हेल्पिंग था ,happy
तुम तो लाजवाब हो ,happy
दिल खुश कर दिया तूने ,happy
इतना सुन्दर होटल है ,happy
मन प्रसन्न हो गया मेरा ,happy
मै खुश हुआ ,happy
हेल्प करने के लिए धन्यवाद ,happy
तुम्हारी सर्विस से हम खुश है,happy
वैरी गुड ,happy
थैंक्यू वैरी मच ,happy
धन्यवाद मेरे भाई ,happy
धन्यवाद सारथि ,happy
तुम बहुत स्मार्ट हो ,happy
तुम बढ़िया हो यार ,happy
काफी मदद कर दी तूने,happy
बहुत ही बढ़िया ,happy
बेहतरीन ,happy
ये होटल अच्छा है ,happy
शुक्रिया तुम्हारा ,happy
बहुत अच्छा कैब ड्राइवर था ,happy
यू अरे सो स्वीट ,happy
तुम तोह काफी इंटेलीजेंट हो ,happy
क्या सही एप है ये ,happy
अरे बढ़िया ,happy
ग्रेट एप ,happy
आय एम इम्प्रेस्सड  ,happy
बहुत ही उन्दा ,happy
थैंक्यू सो मच ,happy
दिल जीत लिया तूने ,happy
यू आर द बेस्ट,happy
तुमने तो कमाल कर दिया ,happy
सारथी की जय हो,happy
मेहरबानी आपकी,happy
तुम बढ़िया हो यार ,happy
बड़े मज़ेदार हो तुम ,happy
क्या जोरदार काम किया है भाई,happy
सुन्दर एप है ,happy
तुम्हारे काम की दाद देता हूँ,happy
माशा अल्लाह ,happy
तुमने मन प्रफुल्लित कर दिया ,happy
वाह भाई क्या बढ़िया डील मिली है ,happy
यू आर गुड ,happy
लाजवाब ,happy
गुड सर्विस ,happy
ये तो अच्छा है ,happy
शाबाश ,happy
बहुत मज़ा आया ,happy
बेस्ट हो तुम  ,happy
मदद के लिए धन्यवाद ,happy
ऐसी सर्विस की उम्मीद थी आपसे ,happy
आपसे बात करके अच्छा लगा ,happy
अच्छे बुकिंग के लिए धन्यवाद ,happy
आश्चर्यचकित कर दिया तुमने ,happy
तू तो बहुत समझदार है ,happy
मेरी यात्रा कुशल मंगल थी धन्यवाद  ,happy
तुम्हारा कोई जवाब नहीं सारथी,happy
तुम बड़े मज़ेदार हो ,happy
माशा अल्लाह क्या काम किया है तुमने ,happy
तुम्हारे काम का कोई जवाब नहीं सारथी शाबाश,happy
हंसते हंसते मर न जाऊं मै,happy
थैंक्स ,happy
वाकई तारीफ के काबिल है ,happy
थैंकयू सारथी! आय लव यू ! ,happy
अरे वाह ,happy
क्या बात है ,happy
सही है ,happy
मजा आ गया यार ,happy
कितना सही अप्प है यार ,happy
वाह यार सही डिस्काउंट चल रहा ,happy
ये मज़ेदार है ,happy
मै तो बहुत खुश हूँ ये एप्प यूस करके ,happy
इन चैनल्स की क्लैरिटी सच में बहुत अच्छी है ,happy
आज तो काफी अच्छा ऑफर चल रहे ,happy
एक कैब बुक करदो ,neutral
जल्दी एक ट्रैन का टिकट बुक करो ,neutral
आज का मौसम कैसा है ,neutral
क्या रिचार्ज करना चाहिए ,neutral
बार बार रीस्टार्ट करने से भी वही दिखा रहा *,neutral
अंतिम समय कब तक है रिचार्ज करने की ,neutral
ये चैनल कैसे चालू करूँ ,neutral
सबसे कम वाली बेस पैक कौन सी है  ,neutral
कौन सा प्लान परिवार के हिसाब से सही होगा  ,neutral
क्या मैं चैनल्स ऐड कर सकता हूँ ,neutral
जो चैनल मै नहीं देखता उसके पैसे क्यों दू ,neutral
मेरे अकाउंट से पैसे कैसे कट गए ,neutral
पैसे लौटने की क्या संभाऊंना है ,neutral
नागपुर से मुंबई की २ फ्लाइट टिकट्स बुक करना,neutral
आखरी तारीख क्या है बैलेंस एक्सपायर होने में ,neutral
इस महीने चल जाएंगे इतने पैसे में ,neutral
मेरे अकाउंट का बैलेंस बताये जरा,neutral
मेरे अकाउंट में कितना बैलेंस है ,neutral
मेरे अकाउंट में कितना बैलेंस बचा है ,neutral
मेरे अकाउंट में कितना राशि बचा है ,neutral
कितना पैसा है मेरे अकाउंट में ,neutral
कुछ पैसे है या नहीं मेरे अकाउंट में ,neutral
इतने पैसे में कितने दिन चलेंगे ,neutral
कब तक ख़त्म हो जायेंगे मेरे अकाउंट के पैसे ,neutral
 प्लीज मेरे लिए बैंगलोर में एक होटेल खोजो ,neutral
कब तक चलेंगे  इतने पैसे में ,neutral
कब तक रिचार्ज हो जाएगा मेरा ,neutral
क्या अभी तुरंत हो जाएगा ,neutral
मेरा पैक कब तक चलेगा,neutral
क्या मुझे लास्ट डेट बताएंगे ,neutral
मेरा अकाउंट कब तक चलेगा ,neutral
अंतिम तिथि क्या है मेरे अकाउंट बंद होने की ,neutral
क्या आप बताएंगे मेरे अकाउंट की एक्सपायरी डेट ,neutral
ओए एक बुकिंग कर दे कैब की,neutral
अबे एक ओयो बुक कर दो भाई के लिए ,neutral
मेरी बुकिंग हो गई क्या ,neutral
कुछ ऐसा डील दो यार की मजा  जाए ,neutral
और क्या क्या करता है ये एप,neutral
सबसे सस्ती फ्लाइट कैसे पता चलेगी ,neutral
ट्रैन टिकट बुक कर सकता है तू ,neutral
आज का तापमान क्या है ,neutral
अब क्या करूँ ,neutral
ट्रैन बुकिंग कैसे करू समझ में नहीं आ रहा है ,neutral
बुकिंग कैसे होगा ,neutral
 टिकट कन्फर्म है क्या ,neutral
आगे क्या करना समझ नहीं आ रहा है ,neutral
मेरी फ्लाइट लेट क्यों हुई है ,neutral
एक बढ़िया सा होटल बुक करो ,neutral
मै पेमेंट कैसे करू ,neutral
मै आगे कैसे बढू ,neutral
भाई मुझे एक बात बताओ ,neutral
कल की दिल्ली से मुंबई की कोई ट्रैन टिकट है ,neutral
ये होटल का प्राइस इतना ज़्यादा क्यों दिखा रहा है ,neutral
ये कैसे होगा,neutral
मेरे को अपने आस पास की होटल दिखाओ,neutral
इधर बुकिंग कैसे  होता है ,neutral
काम हो गया,neutral
मेरी फ्लाइट का क्या स्टेटस है ,neutral
क्या तुम मेरी हेल्प कर सकते हो ,neutral
मैंने जो कैब बुक की थी वह दिखा क्यों नहीं रहा ,neutral
बड़ी गाड़ी बुक कर सकते हो क्या ,neutral
मेरी ट्रैन टाइम से चल रही है ना ,neutral
इधर कोई ३ स्टार होटल है आस पास मै ,neutral
इधर से बुकिंग क्यों नहीं हो रहा है  ,neutral
तुरंत एक कैब बुलाओ ,neutral
अभी के अभी बुक करो ,neutral
एक काम कर दो,neutral
मेरे को एक मदद चाहिए था,neutral
मेरा एक काम कर दो ,neutral
जल्दी से एक काम करना ,neutral
कैब आने में और कितना टाइम है ,neutral
एक ऑटो बुक कर दो जल्दी ,neutral
अरे बढ़िया एक हेल्प कर दो सारथी,neutral
हाल फिलहाल में बारिश होने वाली है क्या,neutral
एक उबर बुक करो ,neutral
और क्या क्या कर सकते हो तुम मेेरे लिए ,neutral
फ्लाइट में खाने के लिए भी कुछ बुक कर दो ,neutral
बैंगलोर में कोई भी होटल बुक कर दो,neutral
इस एप के बारे में  और बताओ ,neutral
क्या आज धुप पड़ेगी ,neutral
तुम ट्रैन का टिकट बुक सकते हो ,neutral
मेरी ट्रैन का स्टेटस पता करो ,neutral
सबसे कम टाइम लगने वाली ट्रेन बताओ,neutral
कल का ट्रैन अवेलेबल है ,neutral
क्या कोई कूपन है तुम्हारे पास ,neutral
५ मिनट में ऑटो बुक कर सकते हो क्या,neutral
परसों का कोई फ्लाइट टिकट्स दिखाओ अहमदाबाद से ग्वालियर का,neutral
क्या मेरा एक काम करदोगे ,neutral
और क्या हालचाल है,neutral
फ्लाइट टिकट अवेलेबल है क्या ,neutral
और सुनाओ ,neutral
क्या हाल चाल है ,neutral
ट्रेन क्या टाइम स्टेशन पहुंचेगी,neutral
दिल्ली में बारिश होने वाली है क्या ,neutral
मेरा एक सवाल है  ,neutral
इधर बारिश हुई थी क्या सुबह ,neutral
कैब कब तक आएगा ,neutral
क्या मेरा फ्लाइट ऑन टाइम है ,neutral
ये क्या है ,neutral
होटल को कितनी रेटिंग मिली है ,neutral
होटल कौन से इलाके में है ,neutral
आज का मौसम बताओ ,neutral
बाहर क्या टेंपरेचर है,neutral
कैब कहा है भाई ,neutral
होटल तो ठीक ही था,neutral
सारथी मदद करो ,neutral
सबसे सस्ता फ्लाइट का टिकट बुक कर दो इधर से मुंबई का,neutral
मेरा कैब कैंसिल कर दो ,neutral
अगले महीने की फ्लाइट की टिकट करा दो बेंगलुरु से दिल्ली की,neutral
कैसा है तू,neutral
मै काफी थक गया आज ,neutral
बहुत गर्मी है यार यहाँ ,neutral
काफी ठण्ड है ,neutral
मौसम क्या सुहाना है ,neutral
क्या तुमने खाना खा लिया ,neutral
यार कही घूमने चलते है ,neutral
ये एप्प इस्तेमाल करके देखे ,neutral
फटा फट एक कैब बुक करना ,neutral
इसको भी एक बार चेक करना चाहिए ,neutral
चलो यह करके देखें,neutral
आज के दिन काफी सारे काम हो जाते है ,neutral
समझ नहीं आ रहा यार क्या करूँ मै,neutral
क्या इतना खर्च करना सही होगा ,neutral
कोसिस करनी चाहिए ,neutral
हम सही रास्ते जा रहे थे ,neutral
दिवाली में फ्लाइट्स की रेट काफी मेहेंगी हो जाती है ,neutral
पता नहीं कब पैसे वापस आएँगे ,neutral
ठीक ठाक एप्प लगता है ,neutral
वह होटल बेकार निकला ,sad
बेकार कैब थी यार,sad
उस होटल में मज़ा नहीं आया,sad
क्या यार अब तक पैसा नहीं आया ,sad
यार कब होगा रिचार्ज मेरे अकाउंट का ,sad
यार मै बहुत परेशान हो गया हु ,sad
रीस्टार्ट करने पे भी नहीं हो रहा ,sad
हमें आपसे ये उम्मीद नहीं थी,sad
मुझे तेरे से और उम्मीद थी यार ,sad
चेक इन टाइम गलत बताया यार तुमने ,sad
कुछ मज़ा नही आया ,sad
बहुत ही निराशाजनक अनुभव था हमारा ,sad
कितना सड़ा होटल था ,sad
बहुत ही वाहियाद सर्विस है होटल की  ,sad
ये कैब फिरसे से टाइम पे बुक नहीं हुई ,sad
फ्लाइट मैं लेगस्पेस इतना काम था ,sad
कैब अंदर से काफी गन्दी थी ,sad
तुम बुकिंग करने में इतनी देर क्यों लगाते हो ,sad
हमरी यात्रा सुखद नहीं थी ,sad
आज तक की सबसे बेकार सर्विस थी ,sad
कैब ड्राइवर गधा था ,sad
इतनी गंदगी थी वह पर ,sad
मेरी फ्लाइट २ घंटा डिले हो गयी ,sad
गन्दा होटल था ,sad
इस सर्विस से काफी नाराज हु मै,sad
मुझे सेफ फील नहीं हो रहा था ,sad
मै सैटिस्फाइड नहीं हु ,sad
होटल वालों का बिहेवियर अच्छा नहीं था,sad
मुझे ये एप्प बिलकुल अच्छा नहीं लगा ,sad
मै निराश हू ,sad
अच्छा एक्सपीरिएंस नहीं था ,sad
बेकार एक्सपीरियंस था होटल में ,sad
मुझे तुमसे ये उम्मीद नहीं थी ,sad
कैब ड्राइवर बुरा था ,sad
ऐसा कैसे चलेगा ,sad
होटल स्टाफ डिसिप्लिंड नहीं था ,sad
होटल वाले ने मुझसे ज्यादा पैसा लिया ,sad
कैब वाले ने मुझसे टोल टैक्स भरवाया ,sad
थोड़ा और सस्ता फ्लाइट बुक हो सकता था ,sad
कैब ड्राइवर ने मुझे गाली दी ,sad
कैब वाले ने मुझसे बदतमीजी की ,sad
होटल से व्यू अच्छा नहीं था ,sad
आज मज़ा नहीं आया ,sad
एप्प का परफॉर्मेंस बहुत खराब है ,sad
एप मे दम नहीं है ,sad
ट्रैन ने गांड मार कर रखी है ,sad
यार फ्लाइट ने जीना हराम कर दिए है ,sad
आजका मौसम गन्दा है ,sad
मूड ऑफ कर दिया ,sad
होटल की लोकेशन अच्छी नही थी ,sad
मै नाराज हु,sad
मज़ा नहीं आया इस बार,sad
होटल मेरी एक्सपेक्टेशंस के हिसाब से नहीं था ,sad
आई वॉस एक्सपेक्टिंग मोर,sad
मै अनसैटिस्फाइड हू ,sad
ड्राइवर का बर्ताव अच्छा नहीं था ,sad
सर्विस इम्प्रूव करो ,sad
टिकट बुक नहीं हुई ,sad
एप में और सुधार लाओ ,sad
मुझे तुमसे और एक्सपेक्टेशंस थी ,sad
शिट यार मेरी फ्लाइट डिले हो गयी ,sad
तुम और बेटर कर सकते हो ,sad
बेशिस्त ड्राइवर था ,sad
बद्तमीज़ स्टाफ था ,sad
तुमसे ये उम्मीद नहीं थी ,sad
ट्रैन टिकट अपने आप कैंसिल कैसे हो गयी ,sad
होटल में स्विमिंग पूल और बार नहीं था यार ,sad
इस एप को और बेहतर कर सकते हो ,sad
एप से कुछ हेल्प नहीं मिला ,sad
ड्राइवर ने कैंसिल कर दिया ,sad
होटल का खाना वाहियात था ,sad
कैब वाले ने मुझसे ढंग से बात नहीं की ,sad
मेरे को तुम्हारा सर्विस उतना अच्छा नहीं लगा,sad
मेरे को तुम्हारा सर्विस पसंद नहीं आया,sad
ये ऐप कुछ ख़ास नहीं है ,sad
मै तुमसे नाखुश हू ,sad
मेरा होटल में स्टे अच्छा नहीं था ,sad
कैब लोकेशन पर नहीं पहुंची,sad
तुमने मुझे बहुत निराश कर दिया,sad
कैब के ड्राइवर ने मुझे बीच में ही उतार दिआ,sad
तुमसे ये उम्मीद नहीं थी ,sad
परेशान हो गया हूं यार,sad
मेरी किस्मत इतनी ख़राब कैसे है ,sad
काश ये हो पाता यार ,sad
अरे यार ये कैब वाला लगता है परसों आएगा ,sad
